id_venda,data_venda,produto,categoria,marca,preco_unitario,quantidade,desconto,regiao,estado,forma_pagamento,canal_venda
19,2024-01-08,Moto G84,Smartphones,Motorola,1505.75,1,0.1,Norte,PA,Boleto,Online
20,2024-01-08,iPhone 15,Smartphones,Apple,5634.95,1,0.15,Sul,SC,Boleto,Online
21,2024-01-08,Galaxy S24,Smartphones,Samsung,4828.73,1,0.05,Nordeste,BA,Pix,Online
22,2024-01-09,Inspiron 15,Notebooks,Dell,3433.44,2,0.1,Centro-Oeste,DF,Cartão de Crédito,Loja Física
23,2024-01-10,Cabo USB-C 2m,Acessórios,Baseus,39.56,2,0.0,Sudeste,RJ,Cartão de Crédito,Loja Física
24,2024-01-12,Carregador Turbo 65W,Acessórios,Anker,148.24,4,0.1,Sul,RS,Boleto,Online
25,2024-01-12,AirPods Pro,Áudio,Apple,1937.25,2,0.0,Sul,SC,Cartão de Crédito,Loja Física
26,2024-01-12,Moto G84,Smartphones,Motorola,1571.67,1,0.0,Nordeste,PI,Cartão de Crédito,Online
27,2024-01-12,Cabo USB-C 2m,Acessórios,Baseus,40.69,3,0.1,Nordeste,BA,Pix,Loja Física
28,2024-01-13,Carregador Turbo 65W,Acessórios,Anker,150.51,3,0.0,Sul,RS,Cartão de Crédito,Online
29,2024-01-13,PlayStation 5,Games,Sony,3843.91,2,0.0,Sul,SC,Pix,Online
30,2024-01-13,Carregador Turbo 65W,Acessórios,Anker,152.01,2,0.0,Sul,PR,Pix,Loja Física
31,2024-01-13,Moto G84,Smartphones,Motorola,1521.57,1,0.15,Sul,SC,Cartão de Crédito,Loja Física
32,2024-01-13,Moto G84,Smartphones,Motorola,1503.7,1,0.0,Centro-Oeste,DF,Pix,Online
33,2024-01-13,Carregador Turbo 65W,Acessórios,Anker,150.7,4,0.1,Centro-Oeste,GO,Cartão de Crédito,Loja Física
34,2024-01-15,Mouse Sem Fio,Acessórios,Logitech,134.77,5,0.0,Sudeste,RJ,,Online
35,2024-01-15,Moto G84,Smartphones,Motorola,1443.07,1,0.0,Sudeste,SP,Cartão de Crédito,Online
36,2024-01-15,Mouse Sem Fio,Acessórios,Logitech,124.45,1,0.0,Sudeste,SP,Cartão de Crédito,Online
37,2024-01-16,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,193.24,1,0.0,Nordeste,CE,Cartão de Crédito,Online
38,2024-01-17,Nintendo Switch,Games,Nintendo,2766.84,1,0.0,Sudeste,MG,Cartão de Crédito,Online
39,2024-01-17,Galaxy S24,Smartphones,Samsung,4660.57,1,0.0,Sudeste,MG,Cartão de Crédito,Online
40,2024-01-17,Redmi Note 13,Smartphones,Xiaomi,1720.73,3,0.0,Sudeste,SP,Cartão de Crédito,Loja Física
41,2024-01-18,"Smart TV 43"" Full HD",TVs,TCL,1772.44,1,0.0,Sudeste,RJ,Cartão de Crédito,Online
42,2024-01-18,Redmi Note 13,Smartphones,Xiaomi,1662.61,2,0.05,Sudeste,MG,Pix,Loja Física
43,2024-01-19,Mi Band 8,Wearables,Xiaomi,292.63,2,0.0,Sudeste,SP,Pix,Online
44,2024-01-19,Nintendo Switch,Games,Nintendo,2724.31,1,0.0,Sudeste,ES,Cartão de Débito,Online
45,2024-01-19,"Smart TV 43"" Full HD",TVs,TCL,1756.45,3,0.05,Nordeste,CE,Pix,Loja Física
46,2024-01-19,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,200.16,1,0.05,Sudeste,SP,Pix,Online
47,2024-01-20,Carregador Turbo 65W,Acessórios,Anker,141.62,4,0.0,Sudeste,MG,Cartão de Crédito,Online
48,2024-01-20,Mi Band 8,Wearables,Xiaomi,307.15,1,0.0,Sudeste,RJ,Boleto,Online
49,2024-01-21,JBL Charge 5,Áudio,JBL,1045.15,3,0.1,Sudeste,SP,Cartão de Débito,Loja Física
50,2024-01-22,Aspire 5,Notebooks,Acer,2893.94,1,0.0,Nordeste,PE,Cartão de Crédito,Online
51,2024-01-22,Moto G84,Smartphones,Motorola,1426.49,2,0.0,Sul,PR,Cartão de Débito,Online
52,2024-01-22,Redmi Note 13,Smartphones,Xiaomi,1618.82,1,0.0,Sul,PR,Pix,Online
53,2024-01-23,"Smart TV 50"" 4K",TVs,Samsung,2833.6,1,0.0,Sudeste,SP,Cartão de Crédito,Online
54,2024-01-23,iPhone 15,Smartphones,Apple,5549.12,1,0.05,Sul,PR,Cartão de Crédito,Online
55,2024-01-23,Inspiron 15,Notebooks,Dell,3580.6,2,0.15,Nordeste,PI,Pix,Online
56,2024-01-24,Cabo USB-C 2m,Acessórios,Baseus,38.01,2,0.05,Sudeste,MG,Cartão de Crédito,Online
57,2024-01-24,Cabo USB-C 2m,Acessórios,Baseus,37.42,1,0.0,Sudeste,RJ,Cartão de Crédito,Online
58,2024-01-24,Inspiron 15,Notebooks,Dell,3496.23,1,0.0,Sudeste,SP,Cartão de Crédito,Loja Física
59,2024-01-25,Inspiron 15,Notebooks,Dell,3522.53,1,0.15,Nordeste,PE,Cartão de Crédito,Online
60,2024-01-25,Carregador Turbo 65W,Acessórios,Anker,147.28,2,0.0,Norte,PA,Cartão de Crédito,Online
61,2024-01-25,Inspiron 15,Notebooks,Dell,3341.81,2,0.0,Sudeste,SP,Cartão de Crédito,Online
62,2024-01-25,Mouse Sem Fio,Acessórios,Logitech,128.06,1,0.0,Norte,PA,Cartão de Crédito,Loja Física
63,2024-01-26,Carregador Turbo 65W,Acessórios,Anker,148.78,5,0.0,Sudeste,SP,Cartão de Crédito,Loja Física
64,2024-01-26,"Smart TV 50"" 4K",TVs,Samsung,2802.83,1,0.1,Sudeste,SP,Boleto,Online
65,2024-01-26,AirPods Pro,Áudio,Apple,1841.29,1,0.0,Sudeste,SP,Cartão de Crédito,Online
66,2024-01-26,Aspire 5,Notebooks,Acer,2863.38,1,0.1,Sudeste,MG,Cartão de Crédito,Loja Física
67,2024-01-26,"Smart TV 50"" 4K",TVs,Samsung,2848.73,1,0.1,Sul,PR,Cartão de Crédito,Loja Física
68,2024-01-27,Teclado Mecânico,Acessórios,Redragon,247.51,3,0.0,Sudeste,RJ,Cartão de Crédito,Loja Física
69,2024-01-28,Cabo USB-C 2m,Acessórios,Baseus,40.84,2,0.05,Sudeste,SP,Cartão de Crédito,Online
70,2024-01-28,Carregador Turbo 65W,Acessórios,Anker,150.59,3,0.05,Nordeste,PE,Cartão de Crédito,Online
71,2024-01-28,Carregador Turbo 65W,Acessórios,Anker,150.25,2,0.0,Centro-Oeste,GO,Pix,Online
72,2024-01-29,Cabo USB-C 2m,Acessórios,Baseus,40.23,1,0.1,Sudeste,SP,Cartão de Crédito,Online
73,2024-01-30,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,207.93,2,0.1,Centro-Oeste,GO,Cartão de Crédito,Loja Física
74,2024-01-31,Cabo USB-C 2m,Acessórios,Baseus,38.26,2,0.0,Norte,AM,Cartão de Crédito,Loja Física
75,2024-01-31,"Smart TV 50"" 4K",TVs,Samsung,2808.6,1,0.0,Nordeste,PE,Pix,Loja Física
76,2024-01-31,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,201.62,1,0.0,Norte,PA,Cartão de Crédito,Online
77,2024-02-01,Redmi Note 13,Smartphones,Xiaomi,1675.48,1,0.05,Sudeste,SP,Pix,Online
78,2024-02-02,Carregador Turbo 65W,Acessórios,Anker,156.29,3,0.0,Sudeste,SP,Boleto,Online
79,2024-02-02,Carregador Turbo 65W,Acessórios,Anker,145.85,2,0.0,Sudeste,SP,Cartão de Crédito,Loja Física
80,2024-02-02,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,202.23,1,0.0,Sudeste,SP,Cartão de Débito,Online
81,2024-02-02,Galaxy Watch 6,Wearables,Samsung,1817.0,1,0.1,Nordeste,CE,Cartão de Crédito,Online
82,2024-02-02,Redmi Note 13,Smartphones,Xiaomi,1762.64,1,0.05,Nordeste,BA,Pix,Loja Física
83,2024-02-02,"Smart TV 43"" Full HD",TVs,TCL,1694.89,1,0.1,Norte,AM,Cartão de Débito,Online
84,2024-02-03,Mouse Sem Fio,Acessórios,Logitech,133.85,3,0.0,Nordeste,PE,Boleto,Online
85,2024-02-03,JBL Charge 5,Áudio,JBL,1019.97,1,0.0,Sudeste,MG,Cartão de Crédito,Loja Física
86,2024-02-03,Mouse Sem Fio,Acessórios,Logitech,127.17,2,0.1,Sul,PR,Pix,Online
87,2024-02-04,Moto G84,Smartphones,Motorola,1429.53,1,0.0,Norte,PA,Cartão de Crédito,Online
88,2024-02-04,Teclado Mecânico,Acessórios,Redragon,250.13,3,0.0,Sudeste,RJ,Boleto,Online
89,2024-02-04,"Smart TV 50"" 4K",TVs,Samsung,2821.04,1,0.0,Sudeste,RJ,Cartão de Crédito,Loja Física
90,2024-02-05,MacBook Air M2,Notebooks,Apple,8565.5,1,0.0,Nordeste,BA,Pix,Loja Física
91,2024-02-05,Moto G84,Smartphones,Motorola,1502.08,1,0.0,Sudeste,RJ,Pix,Online
92,2024-02-06,Cabo USB-C 2m,Acessórios,Baseus,40.43,5,0.05,Nordeste,PE,Pix,Online
93,2024-02-06,Cabo USB-C 2m,Acessórios,Baseus,39.84,1,0.1,Sudeste,SP,Cartão de Débito,Online
94,2024-02-06,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,200.72,1,0.0,Centro-Oeste,GO,Cartão de Crédito,Online
95,2024-02-06,Redmi Note 13,Smartphones,Xiaomi,1707.67,1,0.0,Nordeste,CE,Cartão de Crédito,Online
96,2024-02-07,Cabo USB-C 2m,Acessórios,Baseus,38.68,2,0.1,Sudeste,SP,Cartão de Crédito,Loja Física
97,2024-02-07,Carregador Turbo 65W,Acessórios,Anker,156.06,3,0.0,Sudeste,SP,Cartão de Crédito,Online
98,2024-02-07,"Smart TV 55"" OLED",TVs,LG,5926.37,1,0.0,Sul,RS,Cartão de Débito,Loja Física
99,2024-02-07,"Smart TV 43"" Full HD",TVs,TCL,1703.73,1,0.0,Norte,PA,Boleto,Online
100,2024-02-08,Inspiron 15,Notebooks,Dell,3550.91,1,0.1,Nordeste,CE,Pix,Online
101,2024-02-08,Carregador Turbo 65W,Acessórios,Anker,147.08,1,0.05,Centro-Oeste,DF,Pix,Online
102,2024-02-08,Apple Watch SE,Wearables,Apple,2594.17,2,0.0,Sul,PR,Pix,Loja Física
103,2024-02-09,Carregador Turbo 65W,Acessórios,Anker,150.05,2,0.0,Sudeste,SP,Cartão de Crédito,Online
104,2024-02-10,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,205.86,3,0.1,Sudeste,SP,Pix,Online
105,2024-02-10,iPhone 15,Smartphones,Apple,5395.28,1,0.0,Nordeste,PE,Pix,Online
106,2024-02-10,Inspiron 15,Notebooks,Dell,3656.23,1,0.15,Sudeste,MG,Cartão de Crédito,Loja Física
107,2024-02-11,Apple Watch SE,Wearables,Apple,2477.77,2,0.15,Nordeste,BA,Cartão de Crédito,Online
108,2024-02-11,Cabo USB-C 2m,Acessórios,Baseus,38.35,1,0.0,Sudeste,SP,Cartão de Débito,Online
109,2024-02-11,Carregador Turbo 65W,Acessórios,Anker,142.7,1,0.0,Centro-Oeste,DF,Cartão de Crédito,Online
110,2024-02-12,Mouse Sem Fio,Acessórios,Logitech,132.74,1,0.0,Sul,SC,Pix,Loja Física
111,2024-02-12,Moto G84,Smartphones,Motorola,1513.86,1,0.0,Sudeste,SP,Cartão de Crédito,Online
112,2024-02-12,Teclado Mecânico,Acessórios,Redragon,257.05,2,0.0,Sudeste,MG,Pix,Loja Física
113,2024-02-12,Carregador Turbo 65W,Acessórios,Anker,155.89,5,0.0,Sudeste,RJ,Cartão de Crédito,Online
114,2024-02-12,Moto G84,Smartphones,Motorola,1428.09,1,0.05,Sudeste,SP,Pix,Loja Física
115,2024-02-13,Cabo USB-C 2m,Acessórios,Baseus,38.57,3,0.0,Sudeste,MG,Cartão de Crédito,Online
116,2024-02-13,Mi Band 8,Wearables,Xiaomi,310.9,2,0.0,Sudeste,SP,Pix,Loja Física
117,2024-02-13,Teclado Mecânico,Acessórios,Redragon,243.2,3,0.0,Sudeste,SP,Cartão de Crédito,Online
118,2024-02-14,Inspiron 15,Notebooks,Dell,3347.25,3,0.0,Nordeste,PI,Cartão de Débito,Online
119,2024-02-14,Teclado Mecânico,Acessórios,Redragon,241.76,3,0.2,Sul,PR,Pix,Loja Física
120,2024-02-14,"Smart TV 50"" 4K",TVs,Samsung,2755.55,2,0.05,Sudeste,SP,Cartão de Crédito,Loja Física
121,2024-02-14,Carregador Turbo 65W,Acessórios,Anker,145.95,4,0.0,Centro-Oeste,DF,Cartão de Crédito,Loja Física
122,2024-02-15,Ideapad 3,Notebooks,Lenovo,2834.56,1,0.0,Sudeste,SP,Cartão de Crédito,Online
123,2024-02-15,Inspiron 15,Notebooks,Dell,3541.99,2,0.0,Sudeste,SP,Boleto,Online
124,2024-02-16,Cabo USB-C 2m,Acessórios,Baseus,37.51,3,0.0,Sul,PR,Pix,Loja Física
125,2024-02-16,Teclado Mecânico,Acessórios,Redragon,258.56,3,0.0,Sudeste,RJ,Cartão de Crédito,Loja Física
126,2024-02-16,Mi Band 8,Wearables,Xiaomi,307.07,4,0.1,Sudeste,MG,Pix,Online
127,2024-02-17,Galaxy S24,Smartphones,Samsung,4824.64,1,0.1,Sudeste,MG,Cartão de Crédito,Online
128,2024-02-17,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,193.51,1,0.0,Centro-Oeste,MT,Pix,Online
129,2024-02-17,"Smart TV 50"" 4K",TVs,Samsung,2703.81,2,0.05,Norte,AM,Boleto,Loja Física
130,2024-02-17,Carregador Turbo 65W,Acessórios,Anker,151.92,3,0.1,Sudeste,SP,Cartão de Débito,Online
131,2024-02-17,Inspiron 15,Notebooks,Dell,3527.95,1,0.05,Norte,AM,Pix,Online
132,2024-02-17,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,205.43,5,0.1,Nordeste,BA,Cartão de Crédito,Online
133,2024-02-18,Inspiron 15,Notebooks,Dell,3567.03,2,0.05,Sudeste,RJ,Pix,Online
134,2024-02-18,"Smart TV 43"" Full HD",TVs,TCL,1646.97,1,0.2,Sudeste,RJ,Cartão de Crédito,Online
135,2024-02-20,Ideapad 3,Notebooks,Lenovo,3034.07,2,0.0,Nordeste,BA,Pix,Online
136,2024-02-20,Ideapad 3,Notebooks,Lenovo,2803.88,1,0.0,Nordeste,PI,Cartão de Débito,Loja Física
137,2024-02-20,Moto G84,Smartphones,Motorola,1560.44,1,0.0,Sudeste,SP,Cartão de Crédito,Online
138,2024-02-21,Mouse Sem Fio,Acessórios,Logitech,127.89,1,0.05,Sudeste,RJ,Pix,Online
139,2024-02-21,Apple Watch SE,Wearables,Apple,2572.09,1,0.1,Sudeste,SP,Cartão de Crédito,Loja Física
140,2024-02-22,Cabo USB-C 2m,Acessórios,Baseus,37.85,4,0.0,Sudeste,MG,Cartão de Débito,Loja Física
141,2024-02-22,Mi Band 8,Wearables,Xiaomi,299.14,4,0.15,Sudeste,SP,Cartão de Crédito,Online
142,2024-02-22,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,204.02,2,0.0,Sudeste,MG,Cartão de Crédito,Loja Física
143,2024-02-22,"Smart TV 55"" OLED",TVs,LG,6190.33,1,0.15,Sudeste,MG,Cartão de Débito,Loja Física
144,2024-02-22,Carregador Turbo 65W,Acessórios,Anker,147.54,2,0.0,Sudeste,RJ,Cartão de Crédito,Online
145,2024-02-22,Cabo USB-C 2m,Acessórios,Baseus,38.74,3,0.0,Norte,PA,Cartão de Crédito,Online
146,2024-02-23,Cabo USB-C 2m,Acessórios,Baseus,39.62,4,0.1,Nordeste,CE,Cartão de Débito,Online
147,2024-02-23,JBL Charge 5,Áudio,JBL,954.5,1,0.05,Nordeste,PI,Pix,Online
148,2024-02-23,Cabo USB-C 2m,Acessórios,Baseus,39.52,1,0.0,Centro-Oeste,DF,Pix,Online
149,2024-02-23,Redmi Note 13,Smartphones,Xiaomi,1653.42,1,0.05,Sul,RS,Boleto,Online
150,2024-02-24,"Smart TV 50"" 4K",TVs,Samsung,2880.29,2,0.15,Sudeste,MG,Pix,Online
151,2024-02-24,Mouse Sem Fio,Acessórios,Logitech,128.2,1,0.0,Nordeste,PE,Cartão de Débito,Online
152,2024-02-24,Ideapad 3,Notebooks,Lenovo,2871.23,2,0.1,Sudeste,SP,Pix,Online
153,2024-02-24,Mouse Sem Fio,Acessórios,Logitech,129.55,1,0.0,Nordeste,PI,Cartão de Crédito,Loja Física
154,2024-02-24,Carregador Turbo 65W,Acessórios,Anker,152.15,1,0.0,Nordeste,BA,Cartão de Crédito,Online
155,2024-02-25,Carregador Turbo 65W,Acessórios,Anker,155.39,4,0.0,Sudeste,RJ,Pix,Loja Física
156,2024-02-25,Xbox Series S,Games,Microsoft,2569.69,1,0.0,Nordeste,CE,Cartão de Crédito,Loja Física
157,2024-02-25,Moto G84,Smartphones,Motorola,1559.11,1,0.0,Sul,SC,Pix,Online
158,2024-02-25,Galaxy S24,Smartphones,Samsung,4774.66,1,0.0,Sul,RS,Cartão de Crédito,Online
159,2024-02-26,"Smart TV 43"" Full HD",TVs,TCL,1661.51,1,0.05,Centro-Oeste,MT,Boleto,Online
160,2024-02-26,Mouse Sem Fio,Acessórios,Logitech,124.18,3,0.15,Nordeste,BA,Cartão de Crédito,Loja Física
161,2024-02-26,Mouse Sem Fio,Acessórios,Logitech,133.59,2,0.0,Sudeste,SP,Cartão de Crédito,Loja Física
162,2024-02-27,Mi Band 8,Wearables,Xiaomi,301.8,4,0.0,Sudeste,SP,Cartão de Crédito,Online
163,2024-02-27,Carregador Turbo 65W,Acessórios,Anker,151.09,3,0.0,Sudeste,MG,Pix,Online
164,2024-02-28,"Smart TV 55"" OLED",TVs,LG,6109.21,1,0.15,Nordeste,PE,Cartão de Crédito,Online
165,2024-02-28,Cabo USB-C 2m,Acessórios,Baseus,38.24,1,0.0,Sul,RS,Pix,Online
166,2024-02-29,"Smart TV 43"" Full HD",TVs,TCL,1680.85,3,0.0,Sudeste,RJ,Pix,Online
167,2024-02-29,Teclado Mecânico,Acessórios,Redragon,248.04,1,0.0,Norte,AM,Cartão de Crédito,Loja Física
168,2024-02-29,Teclado Mecânico,Acessórios,Redragon,241.02,1,0.2,Centro-Oeste,DF,Cartão de Débito,Online
169,2024-02-29,JBL Charge 5,Áudio,JBL,1030.97,1,0.0,Sudeste,RJ,Cartão de Crédito,Loja Física
170,2024-03-01,Mouse Sem Fio,Acessórios,Logitech,134.21,1,0.0,Sudeste,RJ,Boleto,Online
171,2024-03-02,JBL Charge 5,Áudio,JBL,1039.53,1,0.05,Sul,PR,Cartão de Crédito,Loja Física
172,2024-03-02,JBL Charge 5,Áudio,JBL,999.17,1,0.0,Nordeste,PI,Cartão de Débito,Online
173,2024-03-02,Mouse Sem Fio,Acessórios,Logitech,128.57,2,0.0,Centro-Oeste,GO,Boleto,Online
174,2024-03-02,Mi Band 8,Wearables,Xiaomi,308.37,3,0.05,Sudeste,SP,Pix,Loja Física
175,2024-03-03,Mi Band 8,Wearables,Xiaomi,311.7,2,0.0,Sudeste,ES,Cartão de Crédito,Online
176,2024-03-03,Cabo USB-C 2m,Acessórios,Baseus,40.21,3,0.05,Sudeste,SP,Cartão de Crédito,Loja Física
177,2024-03-03,Nintendo Switch,Games,Nintendo,2769.04,1,0.0,Norte,TO,Pix,Online
178,2024-03-04,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,207.9,1,0.0,Nordeste,PE,Pix,Online
179,2024-03-04,Aspire 5,Notebooks,Acer,3145.55,1,0.15,Sudeste,MG,Boleto,Loja Física
180,2024-03-04,Mi Band 8,Wearables,Xiaomi,306.13,3,0.2,Sul,RS,Pix,Online
181,2024-03-04,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,197.81,1,0.15,Sudeste,SP,Cartão de Débito,Online
182,2024-03-05,"Smart TV 50"" 4K",TVs,Samsung,2927.19,1,0.05,Centro-Oeste,GO,Cartão de Crédito,Online
183,2024-03-05,Carregador Turbo 65W,Acessórios,Anker,143.45,3,0.0,Sudeste,SP,Cartão de Crédito,Loja Física
184,2024-03-05,Redmi Note 13,Smartphones,Xiaomi,1630.75,1,0.1,Sudeste,SP,Cartão de Crédito,Online
185,2024-03-05,Galaxy S24,Smartphones,Samsung,4498.27,2,0.0,Sudeste,SP,Cartão de Débito,Online
186,2024-03-06,Carregador Turbo 65W,Acessórios,Anker,152.62,3,0.05,Norte,PA,Boleto,Online
187,2024-03-07,Carregador Turbo 65W,Acessórios,Anker,145.35,1,0.0,Centro-Oeste,GO,Cartão de Crédito,Online
188,2024-03-07,Mouse Sem Fio,Acessórios,Logitech,124.54,2,0.1,Sudeste,SP,Cartão de Crédito,Loja Física
189,2024-03-08,Ideapad 3,Notebooks,Lenovo,2925.52,1,0.0,Norte,PA,Cartão de Crédito,Online
190,2024-03-08,Moto G84,Smartphones,Motorola,1547.46,2,0.1,Sudeste,RJ,Cartão de Crédito,Loja Física
191,2024-03-09,Aspire 5,Notebooks,Acer,2931.56,1,0.05,Centro-Oeste,DF,Cartão de Crédito,Online
192,2024-03-09,Mouse Sem Fio,Acessórios,Logitech,134.91,2,0.15,Sudeste,SP,Pix,Online
193,2024-03-10,Mi Band 8,Wearables,Xiaomi,311.45,1,0.1,Sudeste,SP,Cartão de Crédito,Loja Física
194,2024-03-10,Carregador Turbo 65W,Acessórios,Anker,144.47,2,0.05,Sudeste,MG,Cartão de Débito,Online
195,2024-03-10,Mi Band 8,Wearables,Xiaomi,301.9,1,0.05,Centro-Oeste,DF,Cartão de Crédito,Loja Física
196,2024-03-10,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,198.65,1,0.0,Sudeste,SP,Pix,Online
197,2024-03-10,Moto G84,Smartphones,Motorola,1500.6,1,0.0,Centro-Oeste,DF,Cartão de Crédito,Loja Física
198,2024-03-11,iPhone 15,Smartphones,Apple,5313.6,1,0.0,Sudeste,RJ,Pix,Online
199,2024-03-11,Redmi Note 13,Smartphones,Xiaomi,1670.78,1,0.0,Nordeste,CE,Cartão de Débito,Loja Física
200,2024-03-11,Carregador Turbo 65W,Acessórios,Anker,151.39,2,0.05,Sul,SC,Cartão de Crédito,Loja Física
201,2024-03-11,iPhone 15,Smartphones,Apple,5633.33,1,0.1,Sudeste,RJ,Cartão de Crédito,Loja Física
202,2024-03-11,AirPods Pro,Áudio,Apple,1922.69,1,0.05,Norte,AM,Pix,Online
203,2024-03-11,Mi Band 8,Wearables,Xiaomi,300.32,1,0.05,Sudeste,MG,Cartão de Crédito,Loja Física
204,2024-03-12,Mouse Sem Fio,Acessórios,Logitech,132.74,3,0.0,Nordeste,PI,Cartão de Crédito,Online
205,2024-03-13,Galaxy S24,Smartphones,Samsung,4629.59,1,0.0,Centro-Oeste,GO,Cartão de Crédito,Online
206,2024-03-13,Mouse Sem Fio,Acessórios,Logitech,131.44,4,0.0,Nordeste,CE,Cartão de Crédito,Online
207,2024-03-13,"Smart TV 50"" 4K",TVs,Samsung,2864.36,1,0.0,Sul,SC,Cartão de Crédito,Online
208,2024-03-13,Aspire 5,Notebooks,Acer,3117.87,1,0.0,Sudeste,SP,Cartão de Crédito,Online
209,2024-03-13,JBL Charge 5,Áudio,JBL,982.38,1,0.0,Sudeste,MG,Cartão de Crédito,Loja Física
210,2024-03-15,Moto G84,Smartphones,Motorola,1548.3,1,0.1,Sudeste,MG,Cartão de Débito,Loja Física
211,2024-03-15,"Smart TV 43"" Full HD",TVs,TCL,1760.84,2,0.05,Centro-Oeste,GO,Pix,Online
212,2024-03-15,Mouse Sem Fio,Acessórios,Logitech,129.85,1,0.2,Norte,PA,Cartão de Crédito,Online
213,2024-03-15,Xbox Series S,Games,Microsoft,2425.74,1,0.05,Sudeste,SP,Cartão de Crédito,Loja Física
214,2024-03-15,"Smart TV 50"" 4K",TVs,Samsung,2660.13,1,0.2,Sudeste,SP,Pix,Loja Física
215,2024-03-15,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,196.0,2,0.1,Nordeste,CE,Cartão de Crédito,Online
216,2024-03-15,Teclado Mecânico,Acessórios,Redragon,256.13,2,0.0,Nordeste,PE,Pix,Loja Física
217,2024-03-16,JBL Charge 5,Áudio,JBL,988.86,1,0.0,Sudeste,SP,Cartão de Crédito,Online
218,2024-03-17,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,196.56,1,0.05,Sudeste,SP,Cartão de Crédito,Loja Física
219,2024-03-17,Nintendo Switch,Games,Nintendo,2774.85,1,0.05,Centro-Oeste,MT,Cartão de Débito,Loja Física
220,2024-03-18,Carregador Turbo 65W,Acessórios,Anker,154.29,2,0.0,Nordeste,PI,Cartão de Crédito,Loja Física
221,2024-03-18,iPhone 15,Smartphones,Apple,5671.74,2,0.05,Centro-Oeste,DF,Cartão de Crédito,Online
222,2024-03-20,Redmi Note 13,Smartphones,Xiaomi,1641.49,1,0.0,Sudeste,SP,Cartão de Crédito,Online
223,2024-03-20,"Smart TV 55"" OLED",TVs,LG,6019.63,1,0.0,Sudeste,SP,Cartão de Débito,Online
224,2024-03-21,Carregador Turbo 65W,Acessórios,Anker,145.11,1,0.0,Nordeste,PE,Cartão de Crédito,Online
225,2024-03-21,Aspire 5,Notebooks,Acer,2943.87,1,0.0,Sudeste,SP,Boleto,Online
226,2024-03-21,Ideapad 3,Notebooks,Lenovo,2828.37,1,0.0,Nordeste,CE,Cartão de Crédito,Online
